ID,FULL NAME,Phone Number,Status,Days Paid,OT Hours,Wages Earned,HRA,Proj Allowance,V Allowance,OT Amount,H Allowance,S Allowance,SCA / DA,Mess Allow,Bonus @ 8.33%,Area Allowance,Washing Allowance,Performance Allowance,GROSS AMT,EPF,Mess,Advance,TDS,Total Deduction,Net Pay Credited to Bank A/c
1001,Aarav Sharma,9876501001,Active,31,0,18500.00,7400.00,2500.00,NA,0.00,NA,NA,1200.00,1500.00,0.00,NA,NA,1000.00,32100.00,1800.00,600.00,0.00,300.00,2700.00,29400.00
1002,Diya Nair,9876501002,Active,31,0,22000.00,8800.00,3000.00,NA,0.00,NA,NA,1400.00,1500.00,0.00,NA,NA,1200.00,37900.00,1800.00,600.00,0.00,500.00,2900.00,35000.00
1003,Rohan Verma,9876501003,Active,30,0,16250.00,6500.00,2200.00,NA,0.00,NA,NA,1000.00,1200.00,0.00,NA,NA,800.00,27950.00,1800.00,500.00,0.00,0.00,2300.00,25650.00
1004,Meera Iyer,9876501004,Active,31,0,21000.00,8400.00,2800.00,NA,0.00,NA,NA,1300.00,1500.00,0.00,NA,NA,1000.00,36000.00,1800.00,600.00,0.00,400.00,2800.00,33200.00
1005,Karthik Rao,9876501005,Active,30,0,19800.00,7920.00,2600.00,NA,0.00,NA,NA,1200.00,1500.00,0.00,NA,NA,900.00,33920.00,1800.00,600.00,1500.00,200.00,4100.00,29820.00
1006,Ananya Das,9876501006,Active,29,0,15000.00,6000.00,1800.00,NA,0.00,NA,NA,900.00,1000.00,0.00,NA,NA,600.00,25300.00,1800.00,400.00,0.00,0.00,2200.00,23100.00
1007,Vikram Singh,9876501007,Active,31,0,24000.00,9600.00,3200.00,NA,0.00,NA,NA,1500.00,1500.00,0.00,NA,NA,1500.00,41300.00,1800.00,700.00,0.00,650.00,3150.00,38150.00
1008,Sneha Pillai,9876501008,Active,30,0,20500.00,8200.00,2700.00,NA,0.00,NA,NA,1200.00,1200.00,0.00,NA,NA,1000.00,34800.00,1800.00,600.00,0.00,350.00,2750.00,32050.00
1009,Aditya Menon,9876501009,Active,30,0,17200.00,6880.00,2100.00,NA,0.00,NA,NA,1100.00,1200.00,0.00,NA,NA,700.00,29180.00,1800.00,500.00,0.00,0.00,2300.00,26880.00
1010,Priya Kulkarni,9876501010,Active,31,0,18800.00,7520.00,2400.00,NA,0.00,NA,NA,1150.00,1200.00,0.00,NA,NA,850.00,31920.00,1800.00,550.00,800.00,150.00,3300.00,28620.00
1011,Manoj Kumar,9876501011,Active,30,18,17500.00,0.00,NA,900.00,1800.00,700.00,500.00,NA,0.00,0.00,300.00,150.00,0.00,21850.00,1600.00,450.00,1000.00,0.00,3050.00,18800.00
1012,Nisha Thomas,9876501012,Active,28,12,14800.00,0.00,NA,750.00,1200.00,600.00,450.00,NA,0.00,0.00,250.00,150.00,0.00,18200.00,1400.00,400.00,0.00,0.00,1800.00,16400.00
1013,Arjun Patel,9876501013,Active,30,20,19000.00,0.00,NA,1000.00,2200.00,800.00,550.00,NA,0.00,0.00,300.00,150.00,900.00,24900.00,1800.00,500.00,0.00,250.00,2550.00,22350.00
1014,Kavya Reddy,9876501014,Active,29,14,18200.00,0.00,NA,950.00,1600.00,750.00,500.00,NA,0.00,0.00,300.00,150.00,600.00,23050.00,1800.00,450.00,0.00,200.00,2450.00,20600.00
1015,Harish Babu,9876501015,Active,27,10,13200.00,0.00,NA,700.00,900.00,550.00,400.00,NA,0.00,0.00,250.00,100.00,0.00,16100.00,1200.00,350.00,500.00,0.00,2050.00,14050.00
1016,Pooja Joshi,9876501016,Active,30,16,16800.00,0.00,NA,850.00,1750.00,650.00,450.00,NA,0.00,0.00,300.00,150.00,500.00,21450.00,1600.00,450.00,0.00,100.00,2150.00,19300.00
1017,Sanjay Roy,9876501017,Active,31,24,18400.00,0.00,NA,1000.00,2600.00,900.00,600.00,NA,0.00,0.00,300.00,150.00,1200.00,25150.00,1800.00,500.00,0.00,300.00,2600.00,22550.00
1018,Neha Gupta,9876501018,Active,28,8,14200.00,0.00,NA,700.00,800.00,500.00,350.00,NA,0.00,0.00,250.00,100.00,0.00,16900.00,1400.00,400.00,0.00,0.00,1800.00,15100.00
1019,Ritesh Yadav,9876501019,Active,29,15,17600.00,0.00,NA,900.00,1650.00,700.00,500.00,NA,0.00,0.00,300.00,150.00,700.00,22500.00,1600.00,450.00,750.00,0.00,2800.00,19700.00
1020,Aishwarya Sen,9876501020,Active,30,18,18600.00,0.00,NA,950.00,2100.00,800.00,550.00,NA,0.00,0.00,300.00,150.00,800.00,24250.00,1800.00,500.00,0.00,220.00,2520.00,21730.00
1021,Deepak Chandra,9876501021,Active,24,0,11800.00,NA,0.00,0.00,0.00,NA,0.00,500.00,0.00,NA,0.00,100.00,NA,12400.00,900.00,300.00,0.00,0.00,1200.00,11200.00
